Loan_ID,Customer_ID,Age,Employment_Type,Monthly_Income,Location,Credit_Score,Loan_Type,Loan_Amount,Interest_Rate,Tenure_Months,Monthly_Repayment,Amount_Repaid,Outstanding_Amount,Loan_Status,Days_Past_Due
LOAN000001,CUST00001,61,Salaried,1390975,Kano,633,Personal,1605144,10.5,12,147807.01,1443047.32,162096.67999999993,Active,0
LOAN000002,CUST00002,53,Salaried,1288352,Abuja,832,Emergency,112489,6.87,12,10018.08,106224.1,6264.899999999994,Active,0
LOAN000003,CUST00003,62,Salaried,512297,Ibadan,621,Education,633408,21.19,6,127937.86,430561.61,202846.39,Delinquent,41
LOAN000004,CUST00004,42,Salaried,632738,Lagos,742,Education,1651163,11.73,6,307474.07,1981395.6,0.0,Closed,0
LOAN000005,CUST00005,23,Self-employed,771327,Kano,715,Education,1742670,5.87,24,76873.53,1061560.82,681109.1799999999,Active,30
LOAN000006,CUST00006,60,Self-employed,1368353,Abuja,594,Education,1857130,12.23,12,173688.08,1134659.43,722470.5700000001,Delinquent,33
LOAN000007,CUST00007,28,Self-employed,217335,Port Harcourt,420,Education,1867147,7.02,18,111012.26,1535893.99,331253.01,Active,20
LOAN000008,CUST00008,52,Self-employed,489368,Abuja,582,Business,1521823,23.73,6,313825.27,353861.36,1167961.6400000001,Active,10
LOAN000009,CUST00009,21,Salaried,1019429,Abuja,687,Personal,1990685,17.8,36,65139.64,888145.43,1102539.5699999998,Active,20
LOAN000010,CUST00010,31,Salaried,711552,Ibadan,480,Emergency,188807,9.22,36,5728.19,90172.86,98634.14,Delinquent,51
LOAN000011,CUST00011,52,Salaried,1398158,Port Harcourt,622,Emergency,605493,7.79,36,18129.47,720351.77,0.0,Closed,0
LOAN000012,CUST00012,21,Salaried,1273757,Lagos,479,Business,509948,24.95,12,53098.34,392791.76,117156.23999999999,Active,0
LOAN000013,CUST00013,51,Salaried,1365849,Port Harcourt,663,Personal,1477072,13.44,6,279265.08,866576.26,610495.74,Active,30
LOAN000014,CUST00014,25,Self-employed,1476657,Port Harcourt,695,Emergency,1479650,22.7,18,100862.81,598817.21,880832.79,Delinquent,52
LOAN000015,CUST00015,50,Salaried,381680,Lagos,614,Education,1564336,22.52,18,106479.14,891371.78,672964.22,Defaulted,112
LOAN000016,CUST00016,56,Salaried,1389974,Port Harcourt,850,Emergency,467146,8.06,12,42066.5,266034.05,201111.95,Active,0
LOAN000017,CUST00017,54,Salaried,90845,Lagos,523,Personal,811225,22.57,18,55239.92,605133.96,206091.04000000004,Active,10
LOAN000018,CUST00018,53,Self-employed,1069195,Abuja,503,Education,1645098,15.65,12,158546.32,1639773.6,5324.399999999907,Active,30
LOAN000019,CUST00019,30,Self-employed,1156612,Port Harcourt,414,Emergency,937384,24.29,36,32363.18,761773.62,175610.38,Delinquent,75
LOAN000020,CUST00020,22,Self-employed,1458629,Port Harcourt,673,Personal,968762,22.99,24,49645.02,340562.65,628199.35,Active,10
LOAN000021,CUST00021,32,Salaried,1283772,Lagos,670,Personal,1284048,9.4,6,234124.75,1247503.96,36544.04000000004,Delinquent,34
LOAN000022,CUST00022,64,Salaried,742958,Kano,613,Emergency,549131,10.57,24,25298.92,392796.43,156334.57,Active,10
LOAN000023,CUST00023,40,Self-employed,559602,Ibadan,563,Emergency,1743443,13.14,6,328755.24,534266.61,1209176.3900000001,Active,30
LOAN000024,CUST00024,24,Self-employed,1029421,Abuja,776,Business,163605,18.47,6,32303.81,100094.91,63510.09,Active,20
LOAN000025,CUST00025,46,Salaried,448896,Kano,438,Personal,343983,13.44,18,21678.57,293446.91,50536.090000000026,Active,0
LOAN000026,CUST00026,28,Self-employed,156091,Ibadan,603,Emergency,1183695,21.72,6,240132.26,1002856.22,180838.78000000003,Defaulted,120
LOAN000027,CUST00027,34,Salaried,1059481,Ibadan,723,Education,891042,23.05,12,91368.93,487331.72,403710.28,Active,30
LOAN000028,CUST00028,60,Self-employed,937110,Ibadan,761,Business,1581980,24.91,36,54890.31,1675791.19,0.0,Closed,0
