Count of Loan_ID,Result,,,,
Loan_Status,High Risk,Loan Closed,Low Risk,Medium Risk,Grand Total
Active,23,,584,525,1132
Closed,,398,,,398
Defaulted,169,,,,169
Delinquent,144,,,157,301
Grand Total,336,398,584,682,2000
,,,,,
,,,,,
,,,,,
Sum of Outstanding_Amount,Result,,,,
Loan_Status,High Risk,Loan Closed,Low Risk,Medium Risk,Grand Total
Active,"?12,292,836.97",,"?156,296,574.68","?235,026,379.32","?403,615,790.97"
Closed,,?0.00,,,?0.00
Defaulted,"?59,885,306.92",,,,"?59,885,306.92"
Delinquent,"?61,794,708.73",,,"?45,000,443.54","?106,795,152.27"
Grand Total,"?133,972,852.62",?0.00,"?156,296,574.68","?280,026,822.86","?570,296,250.16"
,,,,,
,,,,,
,,,,,
Sum of Outstanding_Amount,Result,,,,
Loan_Status,High Risk,Loan Closed,Low Risk,Medium Risk,Grand Total
Active,2.16%,0.00%,27.41%,41.21%,70.77%
Closed,0.00%,0.00%,0.00%,0.00%,0.00%
Defaulted,10.50%,0.00%,0.00%,0.00%,10.50%
Delinquent,10.84%,0.00%,0.00%,7.89%,18.73%
Grand Total,23.49%,0.00%,27.41%,49.10%,100.00%
