Loan_ID,Customer_ID,Age,Employment_Type,Monthly_Income,Location,Credit_Score,Loan_Type,Loan_Amount,Interest_Rate,Tenure_Months,Monthly_Repayment,Amount_Repaid,Outstanding_Amount,Loan_Status,Days_Past_Due,DTIR,LTIR,DTI Score,Credit Score,DPD Score,LTI Score,Employement Type Score,Weigthed Result,Result
LOAN000001,CUST00001,61,Salaried,1390975,Kano,633,Personal,1605144,10.5,12,147807.01,1443047.32,162096.68,Active,0,11%,115%,1,2,1,2,1,7,Low Risk
LOAN000002,CUST00002,53,Salaried,1288352,Abuja,832,Emergency,112489,6.87,12,10018.08,106224.1,6264.9,Active,0,1%,9%,1,1,1,1,1,5,Low Risk
LOAN000003,CUST00003,62,Salaried,512297,Ibadan,621,Education,633408,21.19,6,127937.86,430561.61,202846.39,Delinquent,41,25%,124%,1,2,5,2,1,11,Medium Risk
LOAN000004,CUST00004,42,Salaried,632738,Lagos,742,Education,1651163,11.73,6,307474.07,1981395.6,0,Closed,0,49%,261%,3,1,1,3,1,0,Loan Closed
LOAN000005,CUST00005,23,Self-employed,771327,Kano,715,Education,1742670,5.87,24,76873.53,1061560.82,681109.18,Active,30,10%,226%,1,1,1,3,2,8,Medium Risk
LOAN000006,CUST00006,60,Self-employed,1368353,Abuja,594,Education,1857130,12.23,12,173688.08,1134659.43,722470.57,Delinquent,33,13%,136%,1,3,5,2,2,13,High Risk
LOAN000007,CUST00007,28,Self-employed,217335,Port Harcourt,420,Education,1867147,7.02,18,111012.26,1535893.99,331253.01,Active,20,51%,859%,3,3,1,3,2,12,High Risk
LOAN000008,CUST00008,52,Self-employed,489368,Abuja,582,Business,1521823,23.73,6,313825.27,353861.36,1167961.64,Active,10,64%,311%,3,3,1,3,2,12,High Risk
LOAN000009,CUST00009,21,Salaried,1019429,Abuja,687,Personal,1990685,17.8,36,65139.64,888145.43,1102539.57,Active,20,6%,195%,1,2,1,2,1,7,Low Risk
LOAN000010,CUST00010,31,Salaried,711552,Ibadan,480,Emergency,188807,9.22,36,5728.19,90172.86,98634.14,Delinquent,51,1%,27%,1,3,5,1,1,11,Medium Risk
LOAN000011,CUST00011,52,Salaried,1398158,Port Harcourt,622,Emergency,605493,7.79,36,18129.47,720351.77,0,Closed,0,1%,43%,1,2,1,1,1,0,Loan Closed
LOAN000012,CUST00012,21,Salaried,1273757,Lagos,479,Business,509948,24.95,12,53098.34,392791.76,117156.24,Active,0,4%,40%,1,3,1,1,1,7,Low Risk
LOAN000013,CUST00013,51,Salaried,1365849,Port Harcourt,663,Personal,1477072,13.44,6,279265.08,866576.26,610495.74,Active,30,20%,108%,1,2,1,2,1,7,Low Risk
LOAN000014,CUST00014,25,Self-employed,1476657,Port Harcourt,695,Emergency,1479650,22.7,18,100862.81,598817.21,880832.79,Delinquent,52,7%,100%,1,2,5,2,2,12,High Risk
LOAN000015,CUST00015,50,Salaried,381680,Lagos,614,Education,1564336,22.52,18,106479.14,891371.78,672964.22,Defaulted,112,28%,410%,1,2,11,3,1,18,High Risk
